match_no,Bowler,team,over,run,wicket,No_ball,ECO
35,Piyush Chawla,Mumbai Indians,4,34,2,0,8.5
35,Kumar Kartikeya,Mumbai Indians,4,39,1,0,9.8
35,Mohammed Shami,Gujarat Titans,4,18,0,0,4.5
35,Hardik Pandya,Gujarat Titans,2,10,1,0,5
35,Rashid Khan,Gujarat Titans,4,27,2,0,6.8
35,Noor Ahmad,Gujarat Titans,4,37,3,0,9.3
35,Mohit Sharma,Gujarat Titans,4,38,2,0,9.5
35,Joshua Little,Gujarat Titans,2,18,0,0,9
36,Mohammed Siraj,Royal Challengers Bangalore,4,33,1,0,8.3
36,David Willey,Royal Challengers Bangalore,3,31,0,0,10.3
36,Wanindu Hasaranga,Royal Challengers Bangalore,4,24,2,0,6
36,Shahbaz Ahmed,Royal Challengers Bangalore,1,25,0,0,25
36,Vijaykumar Vyshak,Royal Challengers Bangalore,4,41,2,0,10.3
36,Harshal Patel,Royal Challengers Bangalore,4,44,0,0,11
36,Vaibhav Arora,Kolkata Knight Riders,2,22,0,0,11
36,Umesh Yadav,Kolkata Knight Riders,1,19,0,0,19
36,Suyash Sharma,Kolkata Knight Riders,4,30,2,0,7.5
36,Varun Chakaravarthy,Kolkata Knight Riders,4,27,3,0,6.8
36,Andre Russell,Kolkata Knight Riders,4,29,2,0,7.3
36,Sunil Narine,Kolkata Knight Riders,4,41,0,0,10.3
36,Nitish Rana,Kolkata Knight Riders,1,8,0,0,8
37,Akash Singh,Chennai Super Kings,2,31,0,0,15.5
37,Tushar Deshpande,Chennai Super Kings,4,42,2,0,10.5
37,Maheesh Theekshana,Chennai Super Kings,4,24,1,0,6
37,Ravindra Jadeja,Chennai Super Kings,4,32,1,0,8
37,Moeen Ali,Chennai Super Kings,2,17,0,0,8.5
37,Matheesha Pathirana,Chennai Super Kings,4,48,0,0,12
37,Sandeep Sharma,Rajasthan Royals,4,24,0,0,6
37,Kuldip Yadav,Rajasthan Royals,3,18,1,0,6
37,Jason Holder,Rajasthan Royals,4,49,0,0,12.3
37,Ravichandran Ashwin,Rajasthan Royals,4,35,2,0,8.8
37,Adam Zampa,Rajasthan Royals,3,22,3,0,7.3
37,Yuzvendra Chahal,Rajasthan Royals,2,21,0,0,10.5
38,Gurnoor Brar,Punjab Kings,3,48,0,2,16
38,Arshdeep Singh,Punjab Kings,4,54,1,0,13.5
38,Kagiso Rabada,Punjab Kings,4,52,2,2,13
38,Sikandar Raza,Punjab Kings,1,17,0,0,17
38,Rahul Chahar,Punjab Kings,4,29,0,0,7.3
38,Sam Curran,Punjab Kings,3,38,1,0,12.7
38,Liam Livingstone,Punjab Kings,1,19,1,0,19
38,Marcus Stoinis,Lucknow Super Giants,1.5,21,1,0,14
38,Kyle Mayers,Lucknow Super Giants,1,4,0,0,4
38,Ayush Badoni,Lucknow Super Giants,0.1,0,0,0,0
38,Naveen-ul-Haq,Lucknow Super Giants,4,30,3,1,7.5
38,Avesh Khan,Lucknow Super Giants,2,28,0,0,14
38,Amit Mishra,Lucknow Super Giants,2,23,0,0,11.5
38,Ravi Bishnoi,Lucknow Super Giants,4,41,2,1,10.3
38,Yash Thakur,Lucknow Super Giants,3.5,37,4,0,10.6
38,Krunal Pandya,Lucknow Super Giants,1,13,0,0,13
39,Mohammed Shami,Gujarat Titans,4,33,3,0,8.3
39,Hardik Pandya,Gujarat Titans,3,34,0,0,11.3
39,Rashid Khan,Gujarat Titans,4,54,0,0,13.5
39,Joshua Little,Gujarat Titans,4,25,2,0,6.3
39,Noor Ahmad,Gujarat Titans,4,21,2,0,5.3
39,Mohit Sharma,Gujarat Titans,1,12,0,0,12
39,Harshit Rana,Kolkata Knight Riders,3,25,1,0,8.3
39,Andre Russell,Kolkata Knight Riders,3,29,1,0,9.7
39,Varun Chakaravarthy,Kolkata Knight Riders,4,42,0,0,10.5
39,Suyash Sharma,Kolkata Knight Riders,4,37,0,0,9.3
39,Sunil Narine,Kolkata Knight Riders,3,24,1,0,8
39,Nitish Rana,Kolkata Knight Riders,0.5,14,0,0,28
40,Bhuvneshwar Kumar,Sunrisers Hyderabad,4,45,1,0,11.3
40,Akeal Hosein,Sunrisers Hyderabad,4,40,1,0,10
40,T Natarajan,Sunrisers Hyderabad,4,34,1,0,8.5
40,Umran Malik,Sunrisers Hyderabad,1,22,0,0,22
40,Mayank Markande,Sunrisers Hyderabad,4,20,2,0,5
40,Abhishek Sharma,Sunrisers Hyderabad,3,26,1,0,8.7
40,Ishant Sharma,Delhi Capitals,3,31,1,0,10.3
40,Anrich Nortje,Delhi Capitals,4,44,0,0,11
40,Mukesh Kumar,Delhi Capitals,2,38,0,1,19
40,Mitchell Marsh,Delhi Capitals,4,27,4,0,6.8
40,Kuldeep Yadav,Delhi Capitals,3,27,0,0,9
40,Axar Patel,Delhi Capitals,4,29,1,0,7.3
